IATA,Airport name,Location served
AUH,Abu Dhabi International Airport,"Abu Dhabi, United Arab Emirates"
AYT,Antalya Airport,"Antalya, Turkey"
BAH,Bahrain International Airport,"Manama, Bahrain"
BEY,Beirut–Rafic Hariri International Airport / Beirut Air Base,"Beirut, Lebanon"
BGW,Baghdad International Airport,"Baghdad, Iraq"
BSR,Basra International Airport,"Basra, Iraq"
BUS,Batumi International Airport (Alexander Kartveli Batumi Int'l Airport),"Batumi, Georgia"
BXN,Bodrum-Imsik Airport,"Bodrum, Turkey"
DAM,Damascus International Airport,"Damascus, Syria"
DMM,King Fahd International Airport,"Dammam, Saudi Arabia"
DOH,Hamad International Airport,"Doha, Qatar"
DWC,Al Maktoum International Airport,"Dubai, United Arab Emirates"
DXB,Dubai International Airport,"Dubai, United Arab Emirates"
EBL,Erbil International Airport,"Erbil, Iraq"
ESB,Esenboğa International Airport,"Ankara, Turkey"
EVN,Zvartnots International Airport,"Yerevan, Armenia"
GYD,Heydar Aliyev International Airport,"Baku, Azerbaijan"
IFN,Isfahan International Airport (Shahid Beheshti Int'l),"Isfahan, Iran"
IKA,Tehran Imam Khomeini International Airport,"Tehran, Iran"
ISL,Istanbul Atatürk Airport,"Istanbul, Turkey"
IST,Istanbul New Airport,"Istanbul, Turkey"
ISU,Sulaimaniyah International Airport,"Sulaymaniyah, Iraq"
JED,King Abdulaziz International Airport,"Jeddah, Saudi Arabia"
JRS,Atarot Airport (Jerusalem International Airport),"Jerusalem, Israel1"
KUT,David the Builder Kutaisi International Airport,"Kutaisi, Georgia"
KWI,Kuwait International Airport,"Kuwait City, Kuwait"
LCA,Larnaca International Airport,"Larnaca, Cyprus"
LTK,Bassel Al-Assad International Airport,"Latakia, Syria"
MCT,Muscat International Airport,"Muscat, Oman"
MED,Prince Mohammad bin Abdulaziz Airport,"Medina, Saudi Arabia"
MHD,Mashhad International Airport (Shahid Hashemi Nejad Airport),"Mashhad, Iran"
NAV,Nevşehir Kapadokya Airport,"Nevşehir, Turkey"
NIC,Nicosia International Airport1,"Nicosia, Cyprus"
NJF,Al Najaf International Airport,"Al Najaf, Iraq"
PFO,Paphos International Airport,"Paphos, Cyprus"
RUH,King Khalid International Airport,"Riyadh, Saudi Arabia"
SAH,Sana'a International Airport (El Rahaba Airport),"Sana'a, Yemen"
SAW,Sabiha Gökçen International Airport,"Istanbul, Turkey"
SHJ,Sharjah International Airport,"Sharjah, United Arab Emirates"
SLL,Salalah International Airport,"Salalah, Oman"
SYZ,Shiraz International Airport (Shahid Dastghaib Int'l),"Shiraz, Iran"
TBS,Tbilisi International Airport,"Tbilisi, Georgia"
TBZ,Tabriz International Airport,"Tabriz, Iran"
TLV,Ben Gurion Airport,"Tel Aviv, Israel"
ALA,Almaty International Airport,"Almaty, Kazakhstan"
AMD,Sardar Vallabhbhai Patel International Airport,"Ahmedabad, Gujarat, India"
ASB,Ashgabat International Airport,"Ashgabat, Turkmenistan"
BLR,Kempegowda International Airport,"Bangalore, Karnataka, India"
BOM,Chhatrapati Shivaji International Airport,"Mumbai, Maharashtra, India"
CCJ,Calicut International Airport,"Kozhikode (Calicut), Kerala, India"
CCU,Netaji Subhas Chandra Bose International Airport,"Kolkata, West Bengal, India"
CEK,Chelyabinsk Airport,"Chelyabinsk, Chelyabinsk Oblast, Russia"
CIT,Shymkent International Airport,"Shymkent, Kazakhstan"
CMB,Bandaranaike International Airport,"Colombo, Sri Lanka"
COK,Cochin International Airport (Nedumbassery Airport),"Kochi (Cochin), Kerala, India"
DEL,Indira Gandhi International Airport,"Delhi, India"
DYU,Dushanbe International Airport,"Dushanbe, Tajikistan"
FRU,Manas International Airport,"Bishkek, Kyrgyzstan"
GOI,Goa International Airport (Dabolim Airport),"Dabolim, Goa, India"
GOJ,Nizhny Novgorod International Airport (Strigino Airport),"Nizhny Novgorod, Nizhny Novgorod Oblast, Russia"
GUW,Atyrau Airport,"Atyrau, Kazakhstan"
HMA,Khanty-Mansiysk Airport,"Khanty-Mansiysk, Khanty-Mansi Autonomous Okrug, Russia"
HRI,Mattala Rajapaksa International Airport,"Hambantota, Sri Lanka"
HYD,Rajiv Gandhi International Airport,"Hyderabad, Telangana, India"
JAI,Jaipur International Airport,"Jaipur, Rajasthan, India"
KBL,Hamid Karzai International Airport,"Kabul, Afghanistan"
KGF,Sary-Arka Airport,"Karaganda, Kazakhstan"
KHI,Jinnah International Airport,"Karachi, Pakistan"
KTM,Tribhuvan International Airport,"Kathmandu, Nepal"
KUF,Kurumoch International Airport,"Samara, Samara Oblast, Russia"
KZN,Kazan International Airport,"Kazan, Tatarstan, Russia"
LHE,Allama Iqbal International Airport,"Lahore, Pakistan"
MAA,Chennai International Airport,"Chennai, Tamil Nadu, India"
MLE,Ibrahim Nasir International Airport,"Malé, Maldives"
OMS,Omsk Tsentralny Airport,"Omsk, Omsk Oblast, Russia"
OVB,Tolmachevo Airport,"Novosibirsk, Novosibirsk Oblast, Russia"
PEE,Perm International Airport (Bolshoye Savino Airport),"Perm, Perm Krai, Russia"
PEW,Bacha Khan International Airport,"Peshawar, Pakistan"
SCO,Aktau Airport,"Aktau, Kazakhstan"
SGC,Surgut International Airport,"Surgut, Khanty-Mansi Autonomous Okrug, Russia"
SVX,Koltsovo International Airport,"Yekaterinburg, Sverdlovsk Oblast, Russia"
TAS,Tashkent International Airport,"Tashkent, Uzbekistan"
TJM,Roshchino International Airport,"Tyumen, Tyumen Oblast, Russia"
TRV,Trivandrum International Airport,"Thiruvananthapuram, Kerala, India"
TSE,Astana International Airport,"Astana, Kazakhstan"
UFA,Ufa International Airport,"Ufa, Bashkortostan, Russia"
BDO,Husein Sastranegara International Airport,"Bandung, Indonesia"
BKI,Kota Kinabalu International Airport,"Kota Kinabalu, Sabah, Malaysia"
BKK,Suvarnabhumi Airport,"Bangkok, Thailand"
BWN,Brunei International Airport,"Bandar Seri Begawan, Brunei"
CEI,Chiang Rai International Airport (Mae Fah Luang Int'l),"Chiang Rai, Thailand"
CGK,Soekarno–Hatta International Airport,"Jakarta, Indonesia"
CGP,Shah Amanat International Airport,"Chittagong, Bangladesh"
CNX,Chiang Mai International Airport,"Chiang Mai, Thailand"
DAC,Shahjalal International Airport,"Dhaka, Bangladesh"
DAD,Da Nang International Airport,"Da Nang, Vietnam"
DMK,Don Mueang International Airport,"Bangkok, Thailand"
DPS,Ngurah Rai International Airport,"Denpasar (Bali), Indonesia"
HAN,Noi Bai International Airport,"Hanoi, Vietnam"
HKT,Phuket International Airport,"Phuket, Thailand"
JHB,Senai International Airport,"Johor Bahru, Johor, Malaysia"
JOG,Adisucipto International Airport,"Yogyakarta, Indonesia"
KBV,Krabi Airport,"Krabi, Thailand"
KCH,Kuching International Airport,"Kuching, Sarawak, Malaysia"
KUL,Kuala Lumpur International Airport,"Kuala Lumpur,1 Malaysia"
LGK,Langkawi International Airport,"Langkawi, Kedah, Malaysia"
LPQ,Luang Prabang International Airport,"Luang Prabang, Laos"
PBH,Paro International Airport,"Paro, Bhutan"
PEN,Penang International Airport,"Penang, Malaysia"
PKU,Sultan Syarif Kasim II International Airport,"Pekanbaru, Indonesia"
PLM,Sultan Mahmud Badaruddin II International Airport,"Palembang, Indonesia"
PNH,Phnom Penh International Airport,"Phnom Penh, Cambodia"
REP,Siem Reap International Airport (Angkor Int'l),"Siem Reap, Cambodia"
SGN,Tan Son Nhat International Airport,"Ho Chi Minh City, Vietnam"
SIN,Singapore Changi Airport,Singapore
SUB,Juanda International Airport,"Surabaya, Indonesia"
UPG,Sultan Hasanuddin International Airport,"Makassar, Indonesia"
USM,Samui Airport,"Ko Samui, Thailand"
VTE,Wattay International Airport,"Vientiane, Laos"
CAN,Guangzhou Baiyun International Airport,"Guangzhou, Guangdong, China"
CEB,Mactan–Cebu International Airport,"Lapu-Lapu, Philippines"
CGO,Zhengzhou Xinzheng International Airport,"Zhengzhou, Henan, China"
CJU,Jeju International Airport,"Jeju, South Korea"
CKG,Chongqing Jiangbei International Airport,"Chongqing, China"
CRK,Clark International Airport,"Clark Special Economic Zone, Philippines"
CSX,Changsha Huanghua International Airport,"Changsha, Hunan, China"
CTS,New Chitose Airport,"Sapporo, Hokkaido, Japan"
CTU,Chengdu Shuangliu International Airport,"Chengdu, Sichuan, China"
DIL,Presidente Nicolau Lobato International Airport,"Dili, East Timor"
DLC,Dalian Zhoushuizi International Airport,"Dalian, Liaoning, China"
DVO,Francisco Bangoy International Airport,"Davao City, Philippines"
FNJ,Pyongyang Sunan International Airport,"Pyongyang, North Korea"
FOC,Fuzhou Changle International Airport,"Fuzhou, Fujian, China"
FUK,Fukuoka Airport (Itazuke Air Base),"Fukuoka, Kyushu, Japan"
GMP,Gimpo International Airport,"Seoul, South Korea"
GUM,Antonio B. Won Pat International Airport (Guam Int'l),"Hagåtña, Guam"
HAK,Haikou Meilan International Airport,"Haikou, Hainan, China"
HGH,Hangzhou Xiaoshan International Airport,"Hangzhou, Zhejiang, China"
HKG,Hong Kong International Airport (Chek Lap Kok Airport),Hong Kong
HND,Haneda Airport,"Tokyo, Honshu, Japan"
HRB,Harbin Taiping International Airport,"Harbin, Heilongjiang, China"
ICN,Incheon International Airport,"Seoul, South Korea"
IKT,International Airport Irkutsk,"Irkutsk, Irkutsk Oblast, Russia"
ITM,Osaka International Airport (Itami Int'l),"Osaka, Honshu, Japan"
KHH,Kaohsiung International Airport,"Kaohsiung, Taiwan"
KHV,Khabarovsk Novy Airport,"Khabarovsk, Khabarovsk Krai, Russia"
KIX,Kansai International Airport,"Osaka, Honshu, Japan"
KJA,Yemelyanovo International Airport,"Krasnoyarsk, Krasnoyarsk Krai, Russia"
KLO,Kalibo International Airport,"Kalibo, Philippines"
KMG,Kunming Changshui International Airport,"Kunming, Yunnan, China"
KWE,Guiyang Longdongbao International Airport,"Guiyang, Guizhou, China"
KWL,Guilin Liangjiang International Airport,"Guilin, Guangxi, China"
MNL,Ninoy Aquino International Airport / Villamor Air Base,"Manila, Philippines"
MXV,Mörön Airport,"Mörön, Mongolia"
NGB,Ningbo Lishe International Airport,"Ningbo, Zhejiang, China"
NGO,Chūbu Centrair International Airport,"Nagoya, Honshu, Japan"
NKG,Nanjing Lukou International Airport,"Nanjing, Jiangsu, China"
NNG,Nanning Wuxu International Airport,"Nanning, Guangxi, China"
NRT,Narita International Airport,"Tokyo, Honshu, Japan"
OKA,Naha Airport,"Okinawa, Ryukyu Islands, Japan"
PEK,Beijing Capital International Airport,"Beijing, China"
PKX,Beijing Daxing International Airport,"Beijing, China"
PUS,Gimhae International Airport,"Busan, South Korea"
PVG,Shanghai Pudong International Airport,"Shanghai, China"
SDJ,Sendai Airport,"Sendai, Honshu, Japan"
SHA,Shanghai Hongqiao International Airport,"Shanghai, China"
SHE,Shenyang Taoxian International Airport,"Shenyang, Liaoning, China"
SYX,Sanya Phoenix International Airport,"Sanya, Hainan, China"
SZX,Shenzhen Bao'an International Airport,"Shenzhen, Guangdong, China"
TAO,Qingdao Liuting International Airport,"Qingdao, Shandong, China"
TNA,Jinan Yaoqiang International Airport,"Jinan, Shandong, China"
TPE,Taiwan Taoyuan International Airport,"Taoyuan, Taiwan"
TSA,Taipei Songshan Airport,"Taipei, Taiwan"
TSN,Tianjin Binhai International Airport,"Tianjin, China"
TYN,Taiyuan Wusu International Airport,"Taiyuan, Shanxi, China"
ULN,Buyant-Ukhaa International Airport,"Ulaanbaatar, Mongolia"
URC,Ürümqi Diwopu International Airport,"Ürümqi, Xinjiang, China"
UUS,Yuzhno-Sakhalinsk Airport (Khomutovo Airport),"Yuzhno-Sakhalinsk, Sakhalin Oblast, Russia"
VVO,Vladivostok International Airport,"Vladivostok, Primorsky Krai, Russia"
WUH,Wuhan Tianhe International Airport,"Wuhan, Hubei, China"
XIY,Xi'an Xianyang International Airport,"Xi'an, Shaanxi, China"
XMN,Xiamen Gaoqi International Airport,"Xiamen, Fujian, China"
ADL,Adelaide Airport,"Adelaide, South Australia, Australia"
AKL,Auckland Airport,"Auckland, New Zealand"
APW,Faleolo International Airport,"Apia, Upolu Island, Samoa"
BNE,Brisbane Airport,"Brisbane, Queensland, Australia"
CHC,Christchurch International Airport,"Christchurch, New Zealand"
CNS,Cairns Airport,"Cairns, Queensland, Australia"
CXI,Cassidy International Airport,"Christmas Island, Kiribati"
DRW,Darwin International Airport,"Darwin, Northern Territory, Australia"
FUN,Funafuti International Airport,"Funafuti, Tuvalu"
FUT,Pointe Vele Airport,"Futuna Island, Wallis and Futuna"
HIR,Honiara International Airport,"Honiara, Guadalcanal, Solomon Islands"
INU,Nauru International Airport,"Yaren, Nauru"
IUE,Niue International Airport (Hanan Int'l),"Alofi, Niue"
KSA,Kosrae International Airport (FAA: TTK),"Kosrae, Federated States of Micronesia"
MAJ,Marshall Islands International Airport (Amata Kabua Int'l),"Majuro, Marshall Islands"
MEL,Melbourne Airport,"Melbourne, Victoria, Australia"
NAN,Nadi International Airport,"Nadi, Fiji"
NLK,Norfolk Island Airport,"Norfolk Island, Australia"
NOU,La Tontouta International Airport,"Nouméa, New Caledonia"
OOL,Gold Coast Airport (Coolangatta Airport),"Gold Coast, Queensland, Australia"
PER,Perth Airport,"Perth, Western Australia, Australia"
PNI,Pohnpei International Airport,"Pohnpei, Federated States of Micronesia"
POM,Jacksons International Airport,"Port Moresby, Papua New Guinea"
PPG,Pago Pago International Airport,"Pago Pago, American Samoa"
PPT,Fa'a'ā International Airport,"Papeete, Tahiti, French Polynesia"
RAR,Rarotonga International Airport,"Avarua, Rarotonga, Cook Islands"
ROR,Roman Tmetuchl International Airport,"Koror, Palau"
SON,Santo-Pekoa International Airport,"Luganville, Vanuatu"
SPN,Saipan International Airport (Francisco C. Ada Int'l) (FAA: GSN),"Saipan, Northern Mariana Islands"
SUV,Nausori International Airport,"Suva, Fiji"
SYD,Sydney Airport (Kingsford Smith Airport),"Sydney, New South Wales, Australia"
TBU,Fuaʻamotu International Airport,"Nukuʻalofa, Tonga"
TKK,Chuuk International Airport,"Chuuk, Federated States of Micronesia"
TRW,Bonriki International Airport,"Tarawa, Kiribati"
VLI,Bauerfield International Airport,"Port Vila, Vanuatu"
WLG,Wellington International Airport,"Wellington, New Zealand"
YAP,Yap International Airport (FAA: T11),"Yap, Federated States of Micronesia"
ZQN,Queenstown Airport,"Queenstown, New Zealand"
HNL,Honolulu International Airport,"Honolulu, Hawaii, United States"
ITO,Hilo International Airport,"Hilo, Hawaii, United States"
KOA,Kona International Airport at Keāhole,"Kailua / Kona, Hawaii, United States"
LIH,Lihue Airport,"Lihue, Hawaii, United States"
LNY,Lanai Airport,"Lanai City, Hawaii, United States"
MKK,Molokai Airport,"Kaunakakai, Hawaii, United States"
OGG,Kahului Airport,"Kahului, Hawaii, United States"
ABI,Abilene Regional Airport,"Abilene, Texas, United States"
ABR,Aberdeen Regional Airport,"Aberdeen, South Dakota, United States"
ABY,Southwest Georgia Regional Airport,"Albany, Georgia, United States"
ACT,Waco Regional Airport,"Waco, Texas, United States"
AEX,Alexandria International Airport,"Alexandria, Louisiana, United States"
AGS,Augusta Regional Airport at Bush Field,"Augusta, Georgia, United States"
ALO,Waterloo Regional Airport,"Waterloo, Iowa, United States"
AMA,Rick Husband Amarillo International Airport,"Amarillo, Texas, United States"
ATL,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia, United States"
ATW,Appleton International Airport,"Appleton, Wisconsin, United States"
ATY,Watertown Regional Airport,"Watertown, South Dakota, United States"
AUS,Austin–Bergstrom International Airport,"Austin, Texas, United States"
BFF,Western Nebraska Regional Airport (William B. Heilig Field),"Scottsbluff, Nebraska, United States"
BHM,Birmingham–Shuttlesworth International Airport,"Birmingham, Alabama, United States"
BIL,Billings Logan International Airport,"Billings, Montana, United States"
BIS,Bismarck Municipal Airport,"Bismarck, North Dakota, United States"
BJI,Bemidji Regional Airport,"Bemidji, Minnesota, United States"
BKG,Branson Airport (FAA: BBG),"Branson, Missouri, United States"
BLV,MidAmerica St. Louis Airport / Scott Air Force Base,"Belleville, Illinois, United States"
BMI,Central Illinois Regional Airport,"Bloomington, Illinois, United States"
BNA,Nashville International Airport,"Nashville, Tennessee, United States"
BPT,Jack Brooks Regional Airport,"Beaumont / Port Arthur, Texas, United States"
BQK,Brunswick Golden Isles Airport,"Brunswick, Georgia, United States"
BRD,Brainerd Lakes Regional Airport,"Brainerd, Minnesota, United States"
BRL,Southeast Iowa Regional Airport,"Burlington, Iowa, United States"
BRO,Brownsville/South Padre Island International Airport,"Brownsville, Texas, United States"
BTM,Bert Mooney Airport,"Butte, Montana, United States"
BTR,Baton Rouge Metropolitan Airport (Ryan Field),"Baton Rouge, Louisiana, United States"
BYH,Arkansas International Airport,"Blytheville, Arkansas, United States"
BZN,Bozeman Yellowstone International Airport (Gallatin Field),"Bozeman, Montana, United States"
CGI,Cape Girardeau Regional Airport,"Cape Girardeau, Missouri, United States"
CHA,Chattanooga Metropolitan Airport (Lovell Field),"Chattanooga, Tennessee, United States"
CID,The Eastern Iowa Airport,"Cedar Rapids, Iowa, United States"
CLL,Easterwood Airport (Easterwood Field),"College Station, Texas, United States"
CMI,University of Illinois Willard Airport,"Champaign, Illinois, United States"
COU,Columbia Regional Airport,"Columbia, Missouri, United States"
CRP,Corpus Christi International Airport,"Corpus Christi, Texas, United States"
CSG,Columbus Airport,"Columbus, Georgia, United States"
CWA,Central Wisconsin Airport,"Wausau, Wisconsin, United States"
DAB,Daytona Beach International Airport,"Daytona Beach, Florida, United States"
DAL,Dallas Love Field,"Dallas, Texas, United States"
DBQ,Dubuque Regional Airport,"Dubuque, Iowa, United States"
DCU,Pryor Field Regional Airport,"Decatur, Alabama, United States"
DDC,Dodge City Regional Airport,"Dodge City, Kansas, United States"
DFW,Dallas/Fort Worth International Airport,"Dallas / Fort Worth, Texas, United States"
DHN,Dothan Regional Airport,"Dothan, Alabama, United States"
DIK,Dickinson Theodore Roosevelt Regional Airport,"Dickinson, North Dakota, United States"
DLH,Duluth International Airport,"Duluth, Minnesota, United States"
DSM,Des Moines International Airport,"Des Moines, Iowa, United States"
DVL,Devils Lake Regional Airport (Devils Lake Municipal Airport),"Devils Lake, North Dakota, United States"
EAR,Kearney Regional Airport,"Kearney, Nebraska, United States"
EAU,Chippewa Valley Regional Airport,"Eau Claire, Wisconsin, United States"
ECP,Northwest Florida Beaches International Airport,"Panama City, Florida, United States"
ELD,South Arkansas Regional Airport at Goodwin Field,"El Dorado, Arkansas, United States"
ELP,El Paso International Airport,"El Paso, Texas, United States"
EVV,Evansville Regional Airport,"Evansville, Indiana, United States"
EYW,Key West International Airport,"Key West, Florida, United States"
FAR,Hector International Airport,"Fargo, North Dakota, United States"
FCA,Glacier Park International Airport (FAA: GPI),"Kalispell, Montana, United States"
FLL,Fort Lauderdale–Hollywood International Airport,"Fort Lauderdale / Hollywood, Florida, United States"
FOD,Fort Dodge Regional Airport,"Fort Dodge, Iowa, United States"
FOE,Topeka Regional Airport,"Topeka, Kansas, United States"
FSD,Sioux Falls Regional Airport (Joe Foss Field),"Sioux Falls, South Dakota, United States"
FSM,Fort Smith Regional Airport,"Fort Smith, Arkansas, United States"
FWA,Fort Wayne International Airport,"Fort Wayne, Indiana, United States"
FYV,Drake Field (Fayetteville Executive Airport),"Fayetteville, Arkansas, United States"
GCK,Garden City Regional Airport,"Garden City, Kansas, United States"
GDV,Dawson Community Airport,"Glendive, Montana, United States"
GFK,Grand Forks International Airport,"Grand Forks, North Dakota, United States"
GGG,East Texas Regional Airport,"Longview, Texas, United States"
GGW,Glasgow Airport (Wokal Field),"Glasgow, Montana, United States"
GLH,Mid-Delta Regional Airport,"Greenville, Mississippi, United States"
GNV,Gainesville Regional Airport,"Gainesville, Florida, United States"
GPT,Gulfport–Biloxi International Airport,"Gulfport / Biloxi, Mississippi, United States"
GRB,Austin Straubel International Airport,"Green Bay, Wisconsin, United States"
GRI,Central Nebraska Regional Airport,"Grand Island, Nebraska, United States"
GRK,Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield,"Fort Hood / Killeen, Texas, United States"
GTF,Great Falls International Airport,"Great Falls, Montana, United States"
GTR,Golden Triangle Regional Airport,"Columbus / West Point / Starkville, Mississippi, United States"
HIB,Range Regional Airport,"Hibbing, Minnesota, United States"
HLN,Helena Regional Airport,"Helena, Montana, United States"
HOT,Memorial Field Airport,"Hot Springs, Arkansas, United States"
HOU,William P. Hobby Airport,"Houston, Texas, United States"
HRL,Valley International Airport,"Harlingen, Texas, United States"
HRO,Boone County Airport,"Harrison, Arkansas, United States"
HSV,Huntsville International Airport (Carl T. Jones Field),"Huntsville, Alabama, United States"
HVR,Havre City–County Airport,"Havre, Montana, United States"
HYS,Hays Regional Airport,"Hays, Kansas, United States"
IAH,George Bush Intercontinental Airport,"Houston, Texas, United States"
ICT,Wichita Dwight D. Eisenhower National Airport,"Wichita, Kansas, United States"
IND,Indianapolis International Airport,"Indianapolis, Indiana, United States"
INL,Falls International Airport,"International Falls, Minnesota, United States"
IRK,Kirksville Regional Airport,"Kirksville, Missouri, United States"
JAN,Jackson–Evers International Airport,"Jackson, Mississippi, United States"
JAX,Jacksonville International Airport,"Jacksonville, Florida, United States"
JBR,Jonesboro Municipal Airport,"Jonesboro, Arkansas, United States"
JLN,Joplin Regional Airport,"Joplin, Missouri, United States"
JMS,Jamestown Regional Airport,"Jamestown, North Dakota, United States"
LAW,Lawton–Fort Sill Regional Airport,"Lawton, Oklahoma, United States"
LBB,Lubbock Preston Smith International Airport,"Lubbock, Texas, United States"
LBF,North Platte Regional Airport (Lee Bird Field),"North Platte, Nebraska, United States"
LBL,Liberal Mid-America Regional Airport,"Liberal, Kansas, United States"
LCH,Lake Charles Regional Airport,"Lake Charles, Louisiana, United States"
LFT,Lafayette Regional Airport,"Lafayette, Louisiana, United States"
LIT,Clinton National Airport (Adams Field),"Little Rock, Arkansas, United States"
LNK,Lincoln Airport,"Lincoln, Nebraska, United States"
LRD,Laredo International Airport,"Laredo, Texas, United States"
LSE,La Crosse Regional Airport,"La Crosse, Wisconsin, United States"
MAF,Midland International Air and Space Port,"Midland, Texas, United States"
MCI,Kansas City International Airport,"Kansas City, Missouri, United States"
MCN,Middle Georgia Regional Airport,"Macon, Georgia, United States"
MCO,Orlando International Airport,"Orlando, Florida, United States"
MCW,Mason City Municipal Airport,"Mason City, Iowa, United States"
MDW,Midway International Airport,"Chicago, Illinois, United States"
MEI,Meridian Regional Airport (Key Field),"Meridian, Mississippi, United States"
MEM,Memphis International Airport,"Memphis, Tennessee, United States"
MFE,McAllen Miller International Airport,"McAllen, Texas, United States"
MGM,Montgomery Regional Airport (Dannelly Field),"Montgomery, Alabama, United States"
MHK,Manhattan Regional Airport,"Manhattan, Kansas, United States"
MIA,Miami International Airport,"Miami, Florida, United States"
MKE,Milwaukee Mitchell International Airport,"Milwaukee, Wisconsin, United States"
MKL,McKellar–Sipes Regional Airport,"Jackson, Tennessee, United States"
MLB,Orlando Melbourne International Airport,"Melbourne, Florida, United States"
MLI,Quad Cities International Airport,"Moline, Illinois, United States"
MLU,Monroe Regional Airport,"Monroe, Louisiana, United States"
MOB,Mobile Regional Airport,"Mobile, Alabama, United States"
MOT,Minot International Airport,"Minot, North Dakota, United States"
MSL,Northwest Alabama Regional Airport,"Muscle Shoals / Florence, Alabama, United States"
MSN,Dane County Regional Airport (Truax Field),"Madison, Wisconsin, United States"
MSO,Missoula International Airport,"Missoula, Montana, United States"
MSP,Minneapolis–Saint Paul International Airport (Wold–Chamberlain Field),"Minneapolis / St Paul, Minnesota, United States"
MSY,Louis Armstrong New Orleans International Airport,"New Orleans, Louisiana, United States"
MWA,Williamson County Regional Airport,"Marion, Illinois, United States"
OKC,Will Rogers World Airport,"Oklahoma City, Oklahoma, United States"
OLF,L. M. Clayton Airport,"Wolf Point, Montana, United States"
OMA,Eppley Airfield,"Omaha, Nebraska, United States"
ORD,O'Hare International Airport,"Chicago, Illinois, United States"
PBI,Palm Beach International Airport,"West Palm Beach, Florida, United States"
PGD,Punta Gorda Airport,"Punta Gorda, Florida, United States"
PIA,General Wayne A. Downing Peoria International Airport,"Peoria, Illinois, United States"
PIB,Hattiesburg–Laurel Regional Airport,"Hattiesburg / Laurel, Mississippi, United States"
PIR,Pierre Regional Airport,"Pierre, South Dakota, United States"
PNS,Pensacola International Airport,"Pensacola, Florida, United States"
RAP,Rapid City Regional Airport,"Rapid City, South Dakota, United States"
RFD,Chicago Rockford International Airport (Greater Rockford Airport),"Rockford, Illinois, United States"
RHI,Rhinelander–Oneida County Airport,"Rhinelander, Wisconsin, United States"
RST,Rochester International Airport,"Rochester, Minnesota, United States"
RSW,Southwest Florida International Airport,"Fort Myers, Florida, United States"
SAT,San Antonio International Airport,"San Antonio, Texas, United States"
SAV,Savannah/Hilton Head International Airport,"Savannah, Georgia, United States"
SBN,South Bend International Airport,"South Bend, Indiana, United States"
SDY,Sidney–Richland Municipal Airport,"Sidney, Montana, United States"
SFB,Orlando Sanford International Airport,"Orlando, Florida, United States"
SGF,Springfield–Branson National Airport,"Springfield, Missouri, United States"
SHV,Shreveport Regional Airport,"Shreveport, Louisiana, United States"
SJT,San Angelo Regional Airport (Mathis Field),"San Angelo, Texas, United States"
SLN,Salina Regional Airport,"Salina, Kansas, United States"
SPI,Abraham Lincoln Capital Airport,"Springfield, Illinois, United States"
SPS,Wichita Falls Municipal Airport,"Wichita Falls, Texas, United States"
SRQ,Sarasota–Bradenton International Airport,"Sarasota / Bradenton, Florida, United States"
STC,St. Cloud Regional Airport,"St. Cloud, Minnesota, United States"
STL,Lambert–St. Louis International Airport,"St. Louis, Missouri, United States"
SUX,Sioux Gateway Airport (Colonel Bud Day Field),"Sioux City, Iowa, United States"
SWO,Stillwater Regional Airport,"Stillwater, Oklahoma, United States"
TBN,Waynesville-St. Robert Regional Airport (Forney Field),"Fort Leonard Wood, Missouri, United States"
TCL,Tuscaloosa Regional Airport,"Tuscaloosa, Alabama, United States"
TLH,Tallahassee International Airport,"Tallahassee, Florida, United States"
TPA,Tampa International Airport,"Tampa, Florida, United States"
TRI,Tri-Cities Regional Airport,"Bristol / Johnson City / Kingsport, Tennessee, United States"
TUL,Tulsa International Airport,"Tulsa, Oklahoma, United States"
TUP,Tupelo Regional Airport,"Tupelo, Mississippi, United States"
TXK,Texarkana Regional Airport (Webb Field),"Texarkana, Arkansas, United States"
TYR,Tyler Pounds Regional Airport,"Tyler, Texas, United States"
TYS,McGhee Tyson Airport,"Knoxville, Tennessee, United States"
UIN,Quincy Regional Airport (Baldwin Field),"Quincy, Illinois, United States"
UST,Northeast Florida Regional Airport (FAA: SGJ),"St. Augustine, Florida, United States"
VLD,Valdosta Regional Airport,"Valdosta, Georgia, United States"
VPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,"Destin / Fort Walton Beach, Florida, United States"
WYS,Yellowstone Airport,"West Yellowstone, Montana, United States"
XNA,Northwest Arkansas Regional Airport,"Fayetteville / Springdale, Arkansas, United States"
XWA,Williston Basin International Airport,"Williston, North Dakota, United States"
ABQ,Albuquerque International Sunport,"Albuquerque, New Mexico, United States"
ACV,Arcata-Eureka Airport,"Eureka / Arcata, California, United States"
ALS,San Luis Valley Regional Airport,"Alamosa, Colorado, United States"
ASE,Aspen–Pitkin County Airport (Sardy Field),"Aspen, Colorado, United States"
AZA,Phoenix–Mesa Gateway Airport (FAA: IWA),"Phoenix, Arizona, United States"
BFL,Meadows Field Airport,"Bakersfield, California, United States"
BLD,Boulder City Municipal Airport (FAA: 61B),"Boulder City, Nevada, United States"
BOI,Boise Air Terminal (Gowen Field),"Boise, Idaho, United States"
BUR,Bob Hope Airport,"Burbank, California, United States"
CCR,Buchanan Field Airport,"Concord, California, United States"
